Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,VOLUME ,turnover
14-Nov-22,"2,630.75","2,642.00","2,605.15","2,631.80","2,619.05","41,73,395",109520.6832
11-Nov-22,"2,600.00","2,636.00","2,588.00","2,572.50","2,631.80","56,81,124",148538.8099
10-Nov-22,"2,590.00","2,596.55","2,563.00","2,604.00","2,572.50","27,53,420",70925.6204
09-Nov-22,"2,610.30","2,621.95","2,590.05","2,606.60","2,604.00","51,93,814",135582.5121
07-Nov-22,"2,591.00","2,610.30","2,574.00","2,592.75","2,606.60","54,40,967",141244.3076
04-Nov-22,"2,553.90","2,600.00","2,551.10","2,555.15","2,592.75","58,03,737",149885.689
03-Nov-22,"2,529.85","2,559.55","2,525.05","2,545.65","2,555.15","30,89,026",78672.09429
02-Nov-22,"2,532.30","2,550.20","2,515.00","2,529.85","2,545.65","41,45,144",105103.7854
01-Nov-22,"2,600.00","2,600.00","2,508.00","2,549.60","2,529.85","64,43,999",163919.9498
31-Oct-22,"2,541.00","2,560.95","2,532.20","2,526.15","2,549.60","57,31,802",146063.1132
28-Oct-22,"2,465.00","2,535.00","2,459.45","2,451.15","2,526.15","81,26,824",203832.4731
27-Oct-22,"2,458.00","2,468.45","2,432.80","2,441.55","2,451.15","57,74,775",141413.6586
25-Oct-22,"2,499.00","2,499.00","2,438.00","2,479.85","2,441.55","56,45,639",139186.2943
24-Oct-22,"2,460.00","2,502.50","2,455.30","2,471.60","2,479.85","15,55,270",38598.66818
21-Oct-22,"2,507.70","2,516.80","2,467.00","2,500.60","2,471.60","38,04,352",94786.48258
20-Oct-22,"2,485.00","2,519.00","2,485.00","2,493.90","2,500.60","40,22,919",100681.9755
19-Oct-22,"2,454.50","2,527.85","2,441.70","2,451.25","2,493.90","88,82,553",222020.6358
18-Oct-22,"2,422.00","2,463.00","2,420.15","2,408.75","2,451.25","57,29,899",140402.015
17-Oct-22,"2,355.00","2,414.00","2,343.60","2,370.70","2,408.75","77,20,595",183449.1489
14-Oct-22,"2,415.00","2,416.35","2,369.10","2,382.80","2,370.70","42,02,459",100548.229
13-Oct-22,"2,371.40","2,394.00","2,360.10","2,375.25","2,382.80","33,82,098",80477.37069
12-Oct-22,"2,352.00","2,381.70","2,343.10","2,357.90","2,375.25","34,22,992",81058.61297
11-Oct-22,"2,414.00","2,414.00","2,351.10","2,405.80","2,357.90","42,52,803",101124.9256
10-Oct-22,"2,405.00","2,417.60","2,388.00","2,432.35","2,405.80","29,21,076",70199.27775
07-Oct-22,"2,414.65","2,443.90","2,414.65","2,422.10","2,432.35","35,60,167",86579.40132
06-Oct-22,"2,429.00","2,450.00","2,418.15","2,413.20","2,422.10","61,62,021",149964.8708
04-Oct-22,"2,397.80","2,418.00","2,390.15","2,369.50","2,413.20","41,29,893",99395.56462
03-Oct-22,"2,391.50","2,416.95","2,363.00","2,377.75","2,369.50","54,70,030",130299.2333
30-Sep-22,"2,311.00","2,402.00","2,311.00","2,325.30","2,377.75","85,89,908",203718.1019
29-Sep-22,"2,360.00","2,367.50","2,313.00","2,332.45","2,325.30","67,71,046",158072.3412
28-Sep-22,"2,360.35","2,378.00","2,327.10","2,396.25","2,332.45","78,44,140",184617.9186
27-Sep-22,"2,394.00","2,426.00","2,360.10","2,377.35","2,396.25","74,55,448",178237.3849
26-Sep-22,"2,394.05","2,417.80","2,375.15","2,439.50","2,377.35","57,59,298",137764.0175
23-Sep-22,"2,485.00","2,495.95","2,436.10","2,486.10","2,439.50","43,97,194",107981.2136
22-Sep-22,"2,486.00","2,503.00","2,472.10","2,509.75","2,486.10","47,57,219",118396.1196
21-Sep-22,"2,496.75","2,533.00","2,495.00","2,502.85","2,509.75","42,49,172",106879.2844
20-Sep-22,"2,522.45","2,537.70","2,494.70","2,502.45","2,502.85","38,81,882",97754.96109
19-Sep-22,"2,499.20","2,522.70","2,481.35","2,499.20","2,502.45","34,98,286",87673.14647
16-Sep-22,"2,543.75","2,553.00","2,491.00","2,562.70","2,499.20","93,30,469",234148.9272
15-Sep-22,"2,583.00","2,603.55","2,556.75","2,588.35","2,562.70","47,83,723",123126.0262
14-Sep-22,"2,575.00","2,610.00","2,572.75","2,619.75","2,588.35","40,04,997",103930.6593
13-Sep-22,"2,618.00","2,629.70","2,601.00","2,598.05","2,619.75","41,02,114",107357.2221
12-Sep-22,"2,570.55","2,612.00","2,570.55","2,569.30","2,598.05","34,31,445",89095.27158
09-Sep-22,"2,610.00","2,610.00","2,564.00","2,585.40","2,569.30","38,37,302",98913.79843
08-Sep-22,"2,588.25","2,598.00","2,571.00","2,581.75","2,585.40","32,56,840",84141.88239
07-Sep-22,"2,575.00","2,594.90","2,570.00","2,596.85","2,581.75","34,55,942",89196.02471
06-Sep-22,"2,573.00","2,606.00","2,572.00","2,569.80","2,596.85","50,30,172",130416.4617
05-Sep-22,"2,531.00","2,581.50","2,531.00","2,530.50","2,569.80","52,27,785",134036.2218
02-Sep-22,"2,560.40","2,575.35","2,525.70","2,560.40","2,530.50","59,99,196",152753.7855
01-Sep-22,"2,582.65","2,604.95","2,550.70","2,637.95","2,560.40","91,88,434",237073.6282
30-Aug-22,"2,614.00","2,645.25","2,576.60","2,597.65","2,637.95","1,06,78,670",279219.8136
29-Aug-22,"2,585.00","2,655.00","2,578.05","2,618.00","2,597.65","91,55,684",239360.6809
26-Aug-22,"2,633.00","2,650.00","2,607.00","2,632.05","2,618.00","49,57,449",129999.2911
25-Aug-22,"2,648.95","2,662.90","2,622.60","2,639.75","2,632.05","36,32,902",96223.00858
24-Aug-22,"2,640.10","2,670.00","2,635.35","2,646.80","2,639.75","47,85,579",126767.5046
23-Aug-22,"2,594.00","2,653.20","2,591.35","2,606.60","2,646.80","44,66,619",117500.4656
22-Aug-22,"2,617.00","2,631.30","2,586.00","2,613.85","2,606.60","43,71,179",113933.4072
19-Aug-22,"2,650.00","2,661.70","2,604.95","2,661.30","2,613.85","43,66,123",114897.4768
18-Aug-22,"2,660.00","2,669.00","2,640.20","2,665.15","2,661.30","34,19,730",90774.57998
17-Aug-22,"2,665.00","2,676.90","2,655.55","2,651.30","2,665.15","30,44,037",81159.22559
16-Aug-22,"2,646.20","2,657.30","2,627.30","2,633.00","2,651.30","30,49,304",80607.90553
12-Aug-22,"2,590.30","2,641.35","2,582.20","2,591.10","2,633.00","58,38,244",153325.6333
11-Aug-22,"2,603.10","2,609.90","2,580.20","2,582.50","2,591.10","37,83,480",98107.22225
10-Aug-22,"2,576.90","2,589.90","2,557.05","2,567.15","2,582.50","49,49,442",127410.0592
08-Aug-22,"2,531.00","2,583.55","2,531.00","2,534.00","2,567.15","46,91,228",120444.179
05-Aug-22,"2,576.00","2,578.80","2,526.95","2,571.90","2,534.00","64,34,433",163654.0737
04-Aug-22,"2,610.00","2,617.75","2,535.00","2,606.35","2,571.90","66,76,577",171539.0776
03-Aug-22,"2,600.00","2,610.00","2,567.45","2,584.65","2,606.35","65,76,824",170408.2942
02-Aug-22,"2,572.50","2,607.80","2,561.55","2,574.85","2,584.65","64,23,115",165949.9413
01-Aug-22,"2,519.15","2,587.75","2,507.60","2,509.45","2,574.85","72,45,568",185520.3771
29-Jul-22,"2,474.70","2,517.10","2,464.00","2,457.10","2,509.45","69,82,808",174172.2246
28-Jul-22,"2,436.00","2,467.95","2,421.00","2,419.20","2,457.10","57,66,936",141101.4678
27-Jul-22,"2,419.95","2,427.00","2,402.00","2,421.50","2,419.20","39,94,321",96504.59375
26-Jul-22,"2,421.10","2,443.90","2,411.35","2,420.40","2,421.50","52,16,466",126809.2721
25-Jul-22,"2,467.45","2,467.45","2,403.00","2,503.10","2,420.40","1,06,65,470",258388.7074
22-Jul-22,"2,500.00","2,516.30","2,495.00","2,486.30","2,503.10","50,62,651",126799.9487
21-Jul-22,"2,494.00","2,500.00","2,467.30","2,503.00","2,486.30","76,25,468",189334.2805
20-Jul-22,"2,540.00","2,542.50","2,486.25","2,437.10","2,503.00","1,10,41,036",276761.2958
19-Jul-22,"2,400.30","2,447.00","2,400.30","2,422.25","2,437.10","75,87,006",184323.1437
18-Jul-22,"2,421.00","2,425.00","2,392.30","2,401.80","2,422.25","69,96,757",168498.0603
15-Jul-22,"2,415.00","2,415.00","2,383.10","2,397.15","2,401.80","44,31,880",106239.9556
14-Jul-22,"2,388.00","2,433.95","2,376.95","2,377.55","2,397.15","78,31,798",187812.4373
13-Jul-22,"2,427.30","2,434.00","2,373.00","2,420.45","2,377.55","65,64,435",157447.1803
